google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
Leaf Life Cannabis Weed Dispensary - Stampede Station,4.4,48,OPERATIONAL,"1331 Macleod Trl SE, Calgary, AB T2G 0K3, Canada",ChIJH5I5RBFxcVMRze8ZvWA2KX0,Leaf Life,101-2230 68 STREET NE
Leaf Life Cannabis Weed Dispensary - Stampede Station,4.4,48,OPERATIONAL,"1331 Macleod Trl SE, Calgary, AB T2G 0K3, Canada",ChIJH5I5RBFxcVMRze8ZvWA2KX0,Leaf Life,110-560 69 AVE SW
Leaf Life Cannabis Weed Dispensary - Stampede Station,4.4,48,OPERATIONAL,"1331 Macleod Trl SE, Calgary, AB T2G 0K3, Canada",ChIJH5I5RBFxcVMRze8ZvWA2KX0,Leaf Life,1343 NORTHMOUNT DR NW
Leaf Life Cannabis Weed Dispensary - Stampede Station,4.4,48,OPERATIONAL,"1331 Macleod Trl SE, Calgary, AB T2G 0K3, Canada",ChIJH5I5RBFxcVMRze8ZvWA2KX0,Leaf Life,175C 52 ST SE
Leaf Life Cannabis Weed Dispensary - Stampede Station,4.4,48,OPERATIONAL,"1331 Macleod Trl SE, Calgary, AB T2G 0K3, Canada",ChIJH5I5RBFxcVMRze8ZvWA2KX0,Leaf Life,12-3181 32 ST NE
Leafy Green Inc,4.4,28,OPERATIONAL,"235 Red Embers Way NE #4170, Calgary, AB T3N 2G8, Canada",ChIJgdGvo01hcVMRlXd2J6TpPrQ,Leafy Green Inc,4170-235 RED EMBERS WAY NE
Level Up Cannabis,4.2,26,OPERATIONAL,"4022 26 St SE, Calgary, AB T2B 2Y4, Canada",ChIJM26AaxR7cVMR855ZwZBX2HU,Level Up Cannabis,4022 26 ST SE
LOFT Cannabis Market - Mayland Heights,4.3,21,OPERATIONAL,"817 19 St NE #117, Calgary, AB T2E 4X5, Canada",ChIJtRiwXqllcVMR6a5PX-JHZUA,Loft Cannabis,328-2066 18 AVE NE
LOFT Cannabis Market - Mayland Heights,4.3,21,OPERATIONAL,"817 19 St NE #117, Calgary, AB T2E 4X5, Canada",ChIJtRiwXqllcVMR6a5PX-JHZUA,Loft Cannabis Market,117A-817 19 ST NE
Lux Leaf Cannabis - Country Hills Blvd (Panorama Hills) - Weed Dispensary,4.7,208,OPERATIONAL,"177 Country Hills Blvd NW # 234, Calgary, AB T3K 5M6, Canada",ChIJr4YpeYBncVMRlRjXz5yu6tU,Lux Leaf Cannabis,234-177 COUNTRY HILLS BOULEVARD NW
Lux Leaf Cannabis - Nolan Hill Blvd - Weed Dispensary,4.8,91,OPERATIONAL,"8 Nolan Hill Blvd NW # 212, Calgary, AB T3R 0X2, Canada",ChIJ4WMMKj1ncVMRt656QSUHRXc,Lux Leaf Cannabis - Nolan Hill,232-8 NOLAN HILL BLVD NW
Lux Leaf Cannabis - Savanna Bazaar - Weed Dispensary,4.8,208,OPERATIONAL,"30 Savanna Cres NE Unit 1130, Calgary, AB T3J 2E9, Canada",ChIJS3C7P3pjcVMRnUN0Wla4BlQ,Lux Leaf Cannabis - Savanna,1130-30 SAVANNA CRES NE
Lux Leaf Cannabis - Taradale (80 Ave) - Weed Dispensary,4.7,196,OPERATIONAL,"7171 80 Ave NE Unit 312, Calgary, AB T3J 0A3, Canada",ChIJG2JE6FpjcVMRPRgpy9uJuoY,Lux Leaf Cannabis - Taradale,312B-7171 80 AVE NE
